SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES,MARKET_CAP,SOURCE_URL,TRADINGVIEW_LINK
SGLTL,2025-09-16,188.3,195.75,253183,3.956452469463616,55011.6,4.602356593882018,"3,939",https://www.screener.in/company/SGLTL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SGLTL/
SHIVAMAUTO,2025-09-16,30.1,31.66,94728,5.18272425249169,10325.2,9.17444698407779,458,https://www.screener.in/company/SHIVAMAUTO/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SHIVAMAUTO/
SHREEPUSHK,2025-09-16,394.2,402.6,863126,2.130898021308989,86212.4,10.01162245802228,"1,243",https://www.screener.in/company/SHREEPUSHK/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SHREEPUSHK/
SHRIRAMPPS,2025-09-16,92.89,95.14,264341,2.422219829906341,77178.4,3.425064525825879,"1,602",https://www.screener.in/company/SHRIRAMPPS/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SHRIRAMPPS/
SINDHUTRAD,2025-09-16,24.42,28.25,4084544,15.683865683865674,77169.6,52.92944371877008,"4,795",https://www.screener.in/company/SINDHUTRAD/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SINDHUTRAD/
SIYSIL,2025-09-16,676.8,683.8,28441,1.0342789598108748,4166.4,6.826276881720431,"3,149",https://www.screener.in/company/SIYSIL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SIYSIL/
SRM,2025-09-16,481.0,509.5,368584,5.925155925155925,15087.2,24.4302455061244,"1,269",https://www.screener.in/company/SRM/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SRM/
STARHEALTH,2025-09-16,439.65,450.6,110669,2.4906175366769125,23073.2,4.796430490785847,"26,484",https://www.screener.in/company/STARHEALTH/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:STARHEALTH/
STEELCAS,2025-09-16,205.05,221.65,252402,8.095586442331136,6183.6,40.8179701144964,"2,195",https://www.screener.in/company/STEELCAS/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:STEELCAS/
STLNETWORK,2025-09-16,22.92,24.06,1356668,4.973821989528783,413882.6,3.2779053770320377,"1,232",https://www.screener.in/company/STLNETWORK/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:STLNETWORK/
SUNDRMFAST,2025-09-16,1013.3,1054.85,16393,4.10046383104707,2058.8,7.962405284631823,"22,230",https://www.screener.in/company/SUNDRMFAST/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SUNDRMFAST/
TATACHEM,2025-09-16,975.85,982.4,72517,0.6712097146077731,21259.2,3.411087905471513,"25,611",https://www.screener.in/company/TATACHEM/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TATACHEM/
TATVA,2025-09-16,1057.1,1102.85,17103,4.327878157222591,4619.6,3.702268594683522,"2,582",https://www.screener.in/company/TATVA/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TATVA/
TEJASNET,2025-09-16,594.1,615.3,139490,3.568422824440318,45291.4,3.0798341406977925,"10,947",https://www.screener.in/company/TEJASNET/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TEJASNET/
TRIGYN,2025-09-16,73.16,73.7,37217,0.7381082558775373,11894.0,3.1290566672271733,231,https://www.screener.in/company/TRIGYN/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TRIGYN/
TTML,2025-09-16,57.75,58.74,907533,1.7142857142857175,140946.2,6.438861068975254,"11,385",https://www.screener.in/company/TTML/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TTML/
TVSSCS,2025-09-16,132.25,134.55,116219,1.7391304347826173,36817.4,3.156632461825115,"5,896",https://www.screener.in/company/TVSSCS/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:TVSSCS/
UBL,2025-09-16,1797.85,1825.0,89890,1.5101371082125925,26082.4,3.4463853019660764,"47,593",https://www.screener.in/company/UBL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:UBL/
UFO,2025-09-16,74.99,76.82,14267,2.4403253767168938,3807.6,3.7469797247610046,301,https://www.screener.in/company/UFO/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:UFO/
USHAMART,2025-09-16,386.3,406.95,165784,5.345586331866419,24020.4,6.901800136550598,"12,225",https://www.screener.in/company/USHAMART/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:USHAMART/
VASCONEQ,2025-09-16,58.5,62.68,7039575,7.145299145299145,200802.8,35.05715557751187,"1,396",https://www.screener.in/company/VASCONEQ/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:VASCONEQ/
VINCOFE,2025-09-16,151.0,155.45,371659,2.947019867549661,91707.2,4.052669801280597,"2,041",https://www.screener.in/company/VINCOFE/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:VINCOFE/
VIRINCHI,2025-09-16,30.3,31.32,338942,3.3663366336633653,77417.8,4.378088759949262,321,https://www.screener.in/company/VIRINCHI/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:VIRINCHI/
VMART,2025-09-16,729.15,738.4,33437,1.2686004251525749,3538.2,9.450285455881522,"5,874",https://www.screener.in/company/VMART/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:VMART/
ZODIACLOTH,2025-09-16,99.72,113.29,43702,13.608102687525076,1785.8,24.47194534662336,274,https://www.screener.in/company/ZODIACLOTH/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ZODIACLOTH/
