SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES
KPRMILL,2025-09-16,1046.35,1090.65,51127,4.2337649925933185,14160.6,3.6105108540598563
KREBSBIO,2025-09-16,75.0,78.75,25728,5.0,1208.6,21.28744001323846
KRIDHANINF,2025-09-16,3.95,3.96,45631,0.2531645569620199,13510.2,3.3775221684357004
KRT,2025-09-16,109.22,111.24,89115,1.8494781175608828,26622.0,3.3474194275411313
KVFORGE,2025-09-16,135.2,141.95,18136,4.992603550295859,2383.6,7.608659171001846
LACTOSE,2025-09-16,126.75,128.0,12605,0.9861932938856016,3136.0,4.019451530612245
LAXMIDENTL,2025-09-16,303.25,363.05,1900087,19.71970321516901,303151.2,6.267786503896406
LTIM,2025-09-16,5339.55,5372.75,50216,0.6217752432321042,8840.8,5.680028956655507
M&MFIN,2025-09-16,270.25,278.7,338479,3.1267345050878776,64874.8,5.21741878202322
MADHUCON,2025-09-16,7.15,7.5,92488,4.89510489510489,16385.8,5.644399419009142
MALUPAPER,2025-09-16,37.91,39.09,39492,3.112635188604608,2353.4,16.780827738590975
MANORAMA,2025-09-16,1365.6,1399.75,21412,2.500732278851794,4601.6,4.653164116828929
MEHAI,2025-09-16,14.25,14.91,2910814,4.631578947368422,836732.6,3.47878641276795
MGEL,2025-09-16,14.99,16.01,134354,6.804536357571724,43330.6,3.100672503957942
MGL,2025-09-16,1300.5,1363.9,82601,4.875048058439068,9835.8,8.397995079200472
MID150CASE,2025-09-16,10.8,10.86,1066416,0.5555555555555437,186041.0,5.732155815116023
MILLENNIUM,2025-09-16,2.04,2.06,11783,0.980392156862746,3028.2,3.891090416749224
MINAXI,2025-09-16,1.81,1.94,44976,7.182320441988945,12004.2,3.7466886589693607
MIRZAINT,2025-09-16,32.95,37.85,463296,14.871016691957506,15529.4,29.833477146573596
MOM100,2025-09-16,62.92,63.28,71190,0.5721551176096622,21978.6,3.2390598127269254
MTEDUCARE,2025-09-16,1.99,2.02,15633,1.5075376884422125,3255.6,4.801879837817914
MVGJL,2025-09-16,196.25,200.8,22791,2.3184713375796235,5284.8,4.31255676657584
NARMADA,2025-09-16,21.85,22.63,53098,3.5697940503432384,5019.2,10.57897672935926
NCC,2025-09-16,212.1,216.05,1011211,1.8623290900518705,141195.2,7.161794451936043
NEWINFRA,2025-09-16,3.28,3.59,3517850,9.451219512195125,1106688.0,3.178718843974092
NEXT50IETF,2025-09-16,71.94,72.4,148380,0.6394217403391825,41300.4,3.592701281343522
NIFTYETF,2025-09-16,270.35,271.79,22030,0.5326428703532449,6486.8,3.3961275205031756
NKIND,2025-09-16,80.81,81.85,38446,1.2869694344759213,7177.6,5.356386535889434
NRBBEARING,2025-09-16,281.6,287.95,51445,2.254971590909079,10774.6,4.774655207617916
NTPCGREEN,2025-09-16,103.6,105.25,2217133,1.5926640926640983,401582.4,5.520991457792971
NV20IETF,2025-09-16,14.53,14.6,286585,0.4817618719889903,72661.4,3.944116133187635
OCTAVE,2025-09-16,4.05,4.06,19039,0.24691358024690832,6167.4,3.0870382981483284
ONMOBILE,2025-09-16,54.3,57.09,195143,5.1381215469613375,22866.4,8.534049959766294
ORIENTCEM,2025-09-16,222.45,226.2,48091,1.6857720836142953,14825.2,3.243868548147748
